"cohort","treatment","OR","2.5%","97.5%"
"1","MV_elig","1.20313741055606","1.03470486237266","1.39929568967728"
"1","RRT_elig","1.00124282253276","0.788813248316589","1.27436218876297"
"1","VP_elig","1.34709694766612","1.10887971996864","1.64019672289498"
"2","MV_elig","1.26290622565088","1.06104114116862","1.50335701624789"
"2","RRT_elig","1.14924452911795","0.886497309199762","1.49392096975227"
"2","VP_elig","1.23217740870034","1.00208288242731","1.51850283769961"
"3","MV_elig","1.33536410027979","1.09196962491625","1.63305979125988"
"3","RRT_elig","1.33721771266474","1.0065560682429","1.782237271433"
"3","VP_elig","1.15109110849429","0.915662134877595","1.45021664132616"
"4","MV_elig","1.26863727271216","1.00250724126854","1.60457623916211"
"4","RRT_elig","1.21684957665527","0.892710370930694","1.66410383391602"
"4","VP_elig","1.19709611594465","0.936152883774431","1.53393565943714"
