cohort,race,treatment,OR,2.5%,97.5%
1,race_nonwhite,MV_elig,0.9465838299424086,0.9240658739342291,0.9755304449614673
1,race_nonwhite,RRT_elig,0.8002444804989488,0.7196834293689581,0.8949348918556694
1,race_nonwhite,VP_elig,0.7925449083760536,0.7603871148129174,0.8244309605517667
2,race_nonwhite,MV_elig,0.8912060761605127,0.866089026249563,0.92125314733662
2,race_nonwhite,RRT_elig,0.7589764192715389,0.6937030100693726,0.8618018437530817
2,race_nonwhite,VP_elig,0.8580270827177775,0.81624152398435,0.9025825841208194
3,race_nonwhite,MV_elig,0.8248742634815389,0.7969926615444454,0.8579863821448337
3,race_nonwhite,RRT_elig,0.7254559804268479,0.6606617413597019,0.832269644686197
3,race_nonwhite,VP_elig,0.9092830272016295,0.8712826790970392,0.9640930229420535
4,race_nonwhite,MV_elig,0.8458960665205855,0.7985501353203194,0.9036489598018244
4,race_nonwhite,RRT_elig,0.7792841708083651,0.6925665780230926,0.8825783401884074
4,race_nonwhite,VP_elig,0.9024529418129473,0.8593339458737219,0.9676172108979777
