cohort,race,treatment,OR,2.5%,97.5%
1,race_white,MV_elig,1,1,1
1,race_black,MV_elig,1.1165080987405687,1.0696223936137628,1.1716564725341263
1,race_hisp,MV_elig,0.8738520022231777,0.8460415029833187,0.9102741900592002
1,race_asian,MV_elig,0.9507150031271303,0.9011584950065566,0.9983404883149802
1,race_white,RRT_elig,1,1,1
1,race_black,RRT_elig,1.161466028597895,1.1141015128393443,1.2184318267561214
1,race_hisp,RRT_elig,1.113125797212229,1.0920635744251614,1.1524892767275314
1,race_asian,RRT_elig,1.023607953108471,0.987479563282393,1.0332788142017892
1,race_white,VP_elig,1,1,1
1,race_black,VP_elig,0.7792689538706501,0.7474925759643892,0.8584288385587341
1,race_hisp,VP_elig,0.9676843914200393,0.9496026140532179,0.9903030075356667
1,race_asian,VP_elig,0.9723069478575781,0.9165913448031858,1.0
2,race_white,MV_elig,1,1,1
2,race_black,MV_elig,1.0904608848714257,1.0547497440849856,1.159065074623675
2,race_hisp,MV_elig,0.7864745739874324,0.7479346510405201,0.827051180235531
2,race_asian,MV_elig,0.8540264099988718,0.8366306306727078,0.8967368079866603
2,race_white,RRT_elig,1,1,1
2,race_black,RRT_elig,1.0322930523472889,0.9714781824930813,1.0766212142517546
2,race_hisp,RRT_elig,0.9705282840577927,0.9397464730131849,1.0186992478641874
2,race_asian,RRT_elig,0.9691777236029,0.9368967273787672,0.9815271957978192
2,race_white,VP_elig,1,1,1
2,race_black,VP_elig,0.7679207693315244,0.7604221719321752,0.8399212900325305
2,race_hisp,VP_elig,0.9657171837201617,0.9395088204134543,0.9974043180909876
2,race_asian,VP_elig,0.9632636437991444,0.9331783126581045,1.0015710945149134
3,race_white,MV_elig,1,1,1
3,race_black,MV_elig,0.9609417723459969,0.9215970472276199,1.0094872686736458
3,race_hisp,MV_elig,0.7047009872289831,0.6631055386854866,0.7343183703956141
3,race_asian,MV_elig,1.0184023036985206,0.9485672170611109,1.0839686434367073
3,race_white,RRT_elig,1,1,1
3,race_black,RRT_elig,0.8475767174391505,0.779587640095742,0.898562870566082
3,race_hisp,RRT_elig,0.944597146159738,0.8860459308692458,0.9745793389234403
3,race_asian,RRT_elig,0.9959122528862302,0.9570854114953186,1.0663668081590962
3,race_white,VP_elig,1,1,1
3,race_black,VP_elig,0.8135025913455145,0.7756081187314424,0.8665373677929258
3,race_hisp,VP_elig,0.8987809142221215,0.8892854240980642,0.9185173633215185
3,race_asian,VP_elig,0.992855098120836,0.944428778538309,1.030303444163048
4,race_white,MV_elig,1,1,1
4,race_black,MV_elig,0.9664912688622618,0.8626233514296572,1.07408256568106
4,race_hisp,MV_elig,0.8157423900113778,0.7767501560012665,0.8461799915057185
4,race_asian,MV_elig,0.9602121066775171,0.9142703381827588,1.0851716427502727
4,race_white,RRT_elig,1,1,1
4,race_black,RRT_elig,0.8512616936181016,0.7776016418741859,0.9095654241241939
4,race_hisp,RRT_elig,0.9920433598566198,0.9230530625415321,1.0479329357269522
4,race_asian,RRT_elig,1.0566091737494965,1.0239678919384887,1.1363027771480572
4,race_white,VP_elig,1,1,1
4,race_black,VP_elig,0.7896641618255575,0.713517943578222,0.8178209585610046
4,race_hisp,VP_elig,0.8768096836246022,0.8356625047439907,0.9550834583384138
4,race_asian,VP_elig,1.0040539494036917,0.9527287596533569,1.0398596978077246
