cohort,race,treatment,OR,2.5%,97.5%
1,race_nonwhite,MV_elig,1.0108023019075014,0.9709698937808745,1.0606641068921812
1,race_nonwhite,RRT_elig,0.7682921040881303,0.6178735785631767,1.032999165809341
1,race_nonwhite,VP_elig,0.7335513523906341,0.667368215324642,0.838604366697871
2,race_nonwhite,MV_elig,0.9058320636090997,0.8662259499135857,0.9541992571628405
2,race_nonwhite,RRT_elig,0.8528417143441887,0.681087187168947,1.0787391067241363
2,race_nonwhite,VP_elig,0.6235865839421131,0.5407244654359732,0.7645653400609775
3,race_nonwhite,MV_elig,0.8272277025602359,0.7754803767705136,0.8968271059723798
3,race_nonwhite,RRT_elig,0.8627598565100325,0.7004109947852876,1.069266339767098
3,race_nonwhite,VP_elig,0.7101382089116648,0.5993525391273803,0.8766111523511798
4,race_nonwhite,MV_elig,0.774805894094259,0.7275042853137262,0.8630840722355374
4,race_nonwhite,RRT_elig,0.869317530683444,0.7014457053981884,1.1185851829197666
4,race_nonwhite,VP_elig,0.8140993504754874,0.6952945607355604,1.0723035853376495
