cohort,race,treatment,OR,2.5%,97.5%
1,race_white,MV_elig,1,1,1
1,race_black,MV_elig,1.1585860968357893,1.0910246989146446,1.2234295107394222
1,race_hisp,MV_elig,0.8431166052555316,0.7664859340357486,0.9510198792588902
1,race_asian,MV_elig,0.897238883338556,0.8228343322405879,1.0207124587784584
1,race_white,RRT_elig,1,1,1
1,race_black,RRT_elig,0.8931369017129236,0.7001848634380378,1.113969455284937
1,race_hisp,RRT_elig,0.8826763873320276,0.7280531510094872,1.1330264768525682
1,race_asian,RRT_elig,0.926070291330491,0.7881448087918752,1.0712396422731907
1,race_white,VP_elig,1,1,1
1,race_black,VP_elig,0.7478289606020102,0.6362809241132216,0.873121555804242
1,race_hisp,VP_elig,0.882767010458074,0.7624145364532352,1.066212241743564
1,race_asian,VP_elig,0.9437475870707477,0.8090774355751988,1.304377046860436
2,race_white,MV_elig,1,1,1
2,race_black,MV_elig,1.1029907334667166,1.0375185986934705,1.1857160813850194
2,race_hisp,MV_elig,0.657260815621419,0.5851978429515912,0.7438561709434859
2,race_asian,MV_elig,0.8323525569472361,0.7365851010343011,0.9665229004788529
2,race_white,RRT_elig,1,1,1
2,race_black,RRT_elig,0.9211632613235621,0.7360191251147375,1.2798925953080578
2,race_hisp,RRT_elig,0.884668697914079,0.6820638932874381,1.108932307526857
2,race_asian,RRT_elig,1.0573679570717383,0.9125858475396605,1.192724250816922
2,race_white,VP_elig,1,1,1
2,race_black,VP_elig,0.6560610403904025,0.5657841516755626,0.8126661500378273
2,race_hisp,VP_elig,0.801613303967258,0.6631732571791924,1.009002333340626
2,race_asian,VP_elig,0.81203069112033,0.6709841238566092,1.087936373171403
3,race_white,MV_elig,1,1,1
3,race_black,MV_elig,0.9910975370681879,0.9282836907745466,1.0590008632039296
3,race_hisp,MV_elig,0.5782004252751223,0.5256701658084049,0.6893818369818491
3,race_asian,MV_elig,0.9316899927008576,0.8228467369832276,1.1512520070421015
3,race_white,RRT_elig,1,1,1
3,race_black,RRT_elig,0.8283999121961015,0.6594705248847933,1.112808307666147
3,race_hisp,RRT_elig,1.0142979910924874,0.8196711624130947,1.3079297243961174
3,race_asian,RRT_elig,1.2548885823596758,1.0277650925119006,1.5154018633768493
3,race_white,VP_elig,1,1,1
3,race_black,VP_elig,0.7679584088680351,0.6026241277836314,0.9626681727201815
3,race_hisp,VP_elig,0.8501315975435839,0.6914410923419375,1.0053536218757697
3,race_asian,VP_elig,0.9027189101473222,0.7229558924251251,1.1799991718761071
4,race_white,MV_elig,1,1,1
4,race_black,MV_elig,0.8635267855531542,0.7780417564812502,0.9781209263353638
4,race_hisp,MV_elig,0.7108014610963214,0.6114633389164797,0.9375397002588537
4,race_asian,MV_elig,0.9310814586841532,0.8176068078707727,1.1513749729270413
4,race_white,RRT_elig,1,1,1
4,race_black,RRT_elig,0.818171804719876,0.6597331437362356,1.0489968772194875
4,race_hisp,RRT_elig,1.1620575349747166,0.9243780611126574,1.425991302958844
4,race_asian,RRT_elig,1.1999019505112254,1.010193909911867,1.4483014634489437
4,race_white,VP_elig,1,1,1
4,race_black,VP_elig,0.9044183631146572,0.706690626289242,1.1890867214242937
4,race_hisp,VP_elig,0.7942670442731952,0.6362675572313911,1.0288526357684622
4,race_asian,VP_elig,0.9287080874651281,0.792792354959437,1.1490288566259947
