cohort,race,treatment,OR,2.5%,97.5%
1,race_nonwhite,MV_elig,0.8697527742809386,0.8269111578402036,0.9392538200381627
1,race_nonwhite,RRT_elig,1.0,0.9615516580364415,1.0876636684589238
1,race_nonwhite,VP_elig,0.8716187235334878,0.7625214497862085,0.940915287751365
2,race_nonwhite,MV_elig,0.8600142464952097,0.8007502142292017,0.9212786988544187
2,race_nonwhite,RRT_elig,1.0,0.9468040844651611,1.085230535351244
2,race_nonwhite,VP_elig,0.8617737909676564,0.7499463961976742,0.9401835652171204
3,race_nonwhite,MV_elig,0.7813137833631786,0.6986918956129778,0.8469378299553294
3,race_nonwhite,RRT_elig,0.9945899490282284,0.941136895298541,1.0532195091382999
3,race_nonwhite,VP_elig,0.9072256542448482,0.8126635920541951,0.9647654799468532
4,race_nonwhite,MV_elig,0.7953906016131039,0.7235891101609505,0.8708759288166267
4,race_nonwhite,RRT_elig,1.0,0.9377364980481742,1.059915318585896
4,race_nonwhite,VP_elig,0.9457732418754089,0.8705957751932453,1.007947448699601
