cohort,race,treatment,OR,2.5%,97.5%
1,race_white,MV_elig,1,1,1
1,race_black,MV_elig,0.9661056366483252,0.9021309193550395,1.0091590933995584
1,race_hisp,MV_elig,0.9797367335278417,0.9149628937876358,1.0003599552543792
1,race_asian,MV_elig,1.0,0.9739329225877421,1.0099921303628934
1,race_white,RRT_elig,1,1,1
1,race_black,RRT_elig,1.0,0.9899300376465647,1.0361994136621056
1,race_hisp,RRT_elig,1.0,1.0,1.0400578397646913
1,race_asian,RRT_elig,1.0,1.0,1.0368035552943387
1,race_white,VP_elig,1,1,1
1,race_black,VP_elig,0.9769882824953251,0.9143039397027732,1.00125408845641
1,race_hisp,VP_elig,1.0,0.9684925423928884,1.008362466441812
1,race_asian,VP_elig,1.0041583690444367,0.9855668068047365,1.0421917762845003
2,race_white,MV_elig,1,1,1
2,race_black,MV_elig,0.9511603824880581,0.8868550977742916,1.0070425209765852
2,race_hisp,MV_elig,0.9164800536850344,0.8414515812894311,0.9818867587044378
2,race_asian,MV_elig,0.9898551171501834,0.9171503521203985,1.0
2,race_white,RRT_elig,1,1,1
2,race_black,RRT_elig,1.0,0.9905393825856652,1.0826940105271439
2,race_hisp,RRT_elig,1.0,1.0,1.0121397238119065
2,race_asian,RRT_elig,1.0,1.0,1.03319568569881
2,race_white,VP_elig,1,1,1
2,race_black,VP_elig,0.9626541633130183,0.9096419241129383,1.0060416273164234
2,race_hisp,VP_elig,1.0,0.9763022504266015,1.0130288366087963
2,race_asian,VP_elig,1.0,0.9761583737169313,1.0282454581773814
3,race_white,MV_elig,1,1,1
3,race_black,MV_elig,0.9501407518616928,0.8878017576109762,0.9932108644854952
3,race_hisp,MV_elig,0.863445390358877,0.7830609798576884,0.9629982296702846
3,race_asian,MV_elig,0.9844066760835495,0.9286498563264011,1.0
3,race_white,RRT_elig,1,1,1
3,race_black,RRT_elig,1.0,0.978494788093404,1.06791058805443
3,race_hisp,RRT_elig,1.0,1.0,1.0297017906222352
3,race_asian,RRT_elig,1.0,1.0,1.095530876328759
3,race_white,VP_elig,1,1,1
3,race_black,VP_elig,0.9866141633296255,0.9114535142698226,1.0070966741288094
3,race_hisp,VP_elig,1.0,0.9569028378247,1.0066127818500832
3,race_asian,VP_elig,1.0,0.9469803584481576,1.0115565318351336
4,race_white,MV_elig,1,1,1
4,race_black,MV_elig,0.907213928846772,0.8218050696500547,0.9720428088682198
4,race_hisp,MV_elig,0.9772627712739131,0.9050656596561307,1.0
4,race_asian,MV_elig,0.978448163596332,0.910385671448876,1.0
4,race_white,RRT_elig,1,1,1
4,race_black,RRT_elig,1.0,0.9657499298625903,1.0557894627643472
4,race_hisp,RRT_elig,1.0,1.0,1.0334227196630448
4,race_asian,RRT_elig,1.0,1.0,1.047350584210459
4,race_white,VP_elig,1,1,1
4,race_black,VP_elig,1.0,0.955427784378843,1.0138158104439388
4,race_hisp,VP_elig,1.0,0.954579036652879,1.0
4,race_asian,VP_elig,1.0,1.0,1.0088136796509928
