cohort,race,treatment,OR,2.5%,97.5%
1,race_white,MV_elig,1,1,1
1,race_black,MV_elig,0.7383221875664577,0.7322970059737695,0.7441399737184631
1,race_hisp,MV_elig,0.7470512348977765,0.737137788922177,0.7577170654381639
1,race_asian,MV_elig,0.7735983501976581,0.7652051482162225,0.781800762924677
1,race_white,RRT_elig,1,1,1
1,race_black,RRT_elig,1.0602026850885962,1.0565629089549813,1.0638471106268272
1,race_hisp,RRT_elig,1.0416159717945697,1.0310797607623452,1.0523773401803882
1,race_asian,RRT_elig,0.8259568685466396,0.8189087272405693,0.8328237551615938
1,race_white,VP_elig,1,1,1
1,race_black,VP_elig,0.6954080960390888,0.6888585727369348,0.7015207495472197
1,race_hisp,VP_elig,0.8682706215335279,0.8634416228642742,0.87298325552164
1,race_asian,VP_elig,0.9261062181853216,0.9138257532227372,0.939423015520608
2,race_white,MV_elig,1,1,1
2,race_black,MV_elig,0.7779952485987,0.7724602291693033,0.7829827350283479
2,race_hisp,MV_elig,0.6239150185653347,0.6133386293226163,0.6335043600578707
2,race_asian,MV_elig,0.6197309237945654,0.6060692894356279,0.6334848689568008
2,race_white,RRT_elig,1,1,1
2,race_black,RRT_elig,0.9462504908743732,0.939707475978497,0.9523507281787352
2,race_hisp,RRT_elig,0.8533474029972453,0.8466800076220735,0.8603666598463453
2,race_asian,RRT_elig,0.7562405524263976,0.7481793156186863,0.7649058619542034
2,race_white,VP_elig,1,1,1
2,race_black,VP_elig,0.7851172955699465,0.7769137884492174,0.7936737196519171
2,race_hisp,VP_elig,0.9619639177423239,0.9558166936727909,0.9685349725962511
2,race_asian,VP_elig,1.0225653875788454,1.0156076843398731,1.0301178321395332
3,race_white,MV_elig,1,1,1
3,race_black,MV_elig,0.7805672792240139,0.7727190166656003,0.7875275033651887
3,race_hisp,MV_elig,0.5803225223458796,0.5640380821562305,0.5955996757439067
3,race_asian,MV_elig,0.7788146784835165,0.7644312922669944,0.7925134960814879
3,race_white,RRT_elig,1,1,1
3,race_black,RRT_elig,0.7620942915781855,0.7566228237557214,0.7683873750227761
3,race_hisp,RRT_elig,0.7049641947440257,0.6944839348829902,0.7158631622597552
3,race_asian,RRT_elig,0.6279219426617146,0.6185208498066211,0.6377705434213004
3,race_white,VP_elig,1,1,1
3,race_black,VP_elig,0.8715255897974968,0.8668038804099628,0.8759742336854739
3,race_hisp,VP_elig,0.9033080533383231,0.8970306263505607,0.9107208638894749
3,race_asian,VP_elig,0.9907239522764872,0.9833272177680756,0.9975774323967441
4,race_white,MV_elig,1,1,1
4,race_black,MV_elig,0.6303313741338342,0.6220699783210131,0.6391983166649602
4,race_hisp,MV_elig,0.6559445446100551,0.6391490469500755,0.6707966987541056
4,race_asian,MV_elig,0.7028961348147512,0.6871248159615004,0.7198017886553548
4,race_white,RRT_elig,1,1,1
4,race_black,RRT_elig,0.7888958206513987,0.7821042818969961,0.7953136331165105
4,race_hisp,RRT_elig,0.9150132800158134,0.9074275899714979,0.9223018166262348
4,race_asian,RRT_elig,1.0096878887349847,1.0059943306189747,1.0136792420123546
4,race_white,VP_elig,1,1,1
4,race_black,VP_elig,0.8763915648344645,0.8704643775490167,0.882596525520056
4,race_hisp,VP_elig,0.8853039928952243,0.8757387695085388,0.8945846581280511
4,race_asian,VP_elig,1.0169504686466966,1.0071576866016352,1.0272733801391984
