cohort,race,treatment,OR,2.5%,97.5%
1,race_white,MV_elig,1.3061836521977586,1.2254843944154368,1.6425571655257127
1,race_white,RRT_elig,0.9854821327742248,0.7852002601422068,1.2625398536879666
1,race_white,VP_elig,1.3190101859932306,1.073778252470625,1.4132418522209078
2,race_white,MV_elig,1.3666173794855863,1.2263836021836807,1.7084964836715935
2,race_white,RRT_elig,1.132330810847863,0.9446525833388523,1.3289688811083087
2,race_white,VP_elig,1.092631966150252,0.9726469801291088,1.3026685512779703
3,race_white,MV_elig,1.4171295888053748,1.1391048201563712,1.6603938203547164
3,race_white,RRT_elig,1.461437006402001,1.0201706431864321,1.697505992512148
3,race_white,VP_elig,1.0767142135473582,0.9669469404648209,1.3044608148106605
4,race_white,MV_elig,1.6491049918695262,1.1687117307554078,1.6160669474013236
4,race_white,RRT_elig,1.3151748043372764,0.9857754434980791,1.4145960266527413
4,race_white,VP_elig,1.1541245804083098,0.9949868109239054,1.2676507913689654
