cohort,race,treatment,OR,2.5%,97.5%
1,race_white,MV_elig,1,1,1
1,race_black,MV_elig,0.738322180641302,0.5812522648087559,0.7825807147819457
1,race_hisp,MV_elig,0.7656406730510029,0.6294860963484943,0.8574050039566771
1,race_asian,MV_elig,0.7735983513794675,0.65012239230806,0.8936350818191823
1,race_white,RRT_elig,1,1,1
1,race_black,RRT_elig,1.0602026796789792,0.7807433346101541,1.3753260510049952
1,race_hisp,RRT_elig,1.0416159721027816,0.9012710250188408,1.3014587316649462
1,race_asian,RRT_elig,0.8259568740614872,0.6984217298057587,1.0550877649865926
1,race_white,VP_elig,1,1,1
1,race_black,VP_elig,0.6954080945817737,0.5140856493562688,0.8340166114379912
1,race_hisp,VP_elig,0.8682706230337777,0.747316685522213,1.0453523458670995
1,race_asian,VP_elig,0.9261062159871242,0.5396190483905577,1.173913029050346
2,race_white,MV_elig,1,1,1
2,race_black,MV_elig,0.7779952454653016,0.6793061193244712,0.8310947001923014
2,race_hisp,MV_elig,0.6239150327244222,0.5663544196319593,0.8205626543137013
2,race_asian,MV_elig,0.6197309200678459,0.4479090170367674,0.7992960103147868
2,race_white,RRT_elig,1,1,1
2,race_black,RRT_elig,0.9462504904196092,0.6776691467897946,1.1256502878852004
2,race_hisp,RRT_elig,0.853347404831363,0.7121617204029438,1.0226347695417355
2,race_asian,RRT_elig,0.7562405587554297,0.6531892489339981,0.9947924376634163
2,race_white,VP_elig,1,1,1
2,race_black,VP_elig,0.7851172902948097,0.6549653923437468,0.9080643997206482
2,race_hisp,VP_elig,0.9619639162851567,0.7565884517502401,0.993641060103304
2,race_asian,VP_elig,1.0225653887011907,0.8346342672260946,1.226053824875272
3,race_white,MV_elig,1,1,1
3,race_black,MV_elig,0.7805672779988659,0.598524437751216,0.930754289955697
3,race_hisp,MV_elig,0.5803225231778476,0.47622222581571927,0.7489328426472761
3,race_asian,MV_elig,0.7788146805765603,0.5721139619933251,0.8787038284708822
3,race_white,RRT_elig,1,1,1
3,race_black,RRT_elig,0.7620942896096846,0.5351555594692677,1.0732617605470043
3,race_hisp,RRT_elig,0.7049641896912576,0.7008201869908112,1.0184126967398062
3,race_asian,RRT_elig,0.6279219353884545,0.5210537092357626,1.0074843349962264
3,race_white,VP_elig,1,1,1
3,race_black,VP_elig,0.8715255899400441,0.7754488046180971,1.017191226116361
3,race_hisp,VP_elig,0.9033080537174396,0.7283237944363447,1.0136323732670538
3,race_asian,VP_elig,0.9907239485697797,0.7514602996091134,1.1558630002729748
4,race_white,MV_elig,1,1,1
4,race_black,MV_elig,0.6303313723875744,0.607314963106792,0.8649260413469244
4,race_hisp,MV_elig,0.6559445511260811,0.5428914023517459,0.8974531381809369
4,race_asian,MV_elig,0.7028961375738477,0.47938325845490326,0.8852331525422924
4,race_white,RRT_elig,1,1,1
4,race_black,RRT_elig,0.7888958474159558,0.7467835343031431,1.0290334150249385
4,race_hisp,RRT_elig,0.9150132849758874,0.718546255159357,1.045397971198451
4,race_asian,RRT_elig,0.993140166803265,0.6123046443976775,1.1094135786245987
4,race_white,VP_elig,1,1,1
4,race_black,VP_elig,0.8763915659038274,0.7196034701116719,0.9832214565231495
4,race_hisp,VP_elig,0.8853039942781903,0.7430810287071524,1.1892181743382653
4,race_asian,VP_elig,1.016950471631438,0.8474053833426021,1.090360386023761
